rep,divergence,mig_time,mig_rate,D,ABBA,BABA,FST_AB,FST_BC
8,shallow,ancient,low,-0.0025897556307348806,644.6227500000006,647.970249999999,0.19996273111675072,0.19316658834610956
9,shallow,ancient,low,-0.019252859310801458,650.0623749999991,675.5848749999999,0.20099797816129264,0.20255385075645882
0,shallow,ancient,moderate,0.04339541139985854,673.0191249999999,617.036624999997,0.19674812985005447,0.20040164975070188
1,shallow,ancient,moderate,0.00474637520221082,701.2134999999962,694.5885,0.20798397271798422,0.19717111331174553
2,shallow,ancient,moderate,-0.00795853505409347,646.4726250000006,656.8451249999978,0.1958228678563248,0.19660381537346158
3,shallow,ancient,moderate,-0.022441012060481557,703.9501250000014,736.2701250000013,0.20145072190436614,0.2044078578461784
4,shallow,ancient,moderate,0.018231050414633472,679.3633749999991,655.035875,0.20112376923996492,0.19684651005730866
5,shallow,ancient,moderate,0.014908532107792714,708.3274999999994,687.5174999999975,0.2093367846587226,0.1998675155766168
6,shallow,ancient,moderate,-0.045456379242607474,689.1121249999994,754.744624999998,0.2051794630553442,0.2120836050973828
7,shallow,ancient,moderate,0.0008929072453268682,659.95175,658.774249999999,0.20042002259628205,0.2047667542205835
8,shallow,ancient,moderate,0.00762210516202252,667.2661250000001,657.1711250000002,0.19640728162960883,0.19477291434808774
9,shallow,ancient,moderate,-0.011822722717930069,614.125249999999,628.8202499999979,0.2014150753250164,0.2003902175827769
0,shallow,ancient,high,-0.029100292289360716,679.2476249999979,719.965124999998,0.19992785582639086,0.20039344322586064
1,shallow,ancient,high,-0.03145971064959331,631.935249999998,672.987749999997,0.2034074209198653,0.2042726951849819
2,shallow,ancient,high,-0.018068400837633957,653.7732500000002,677.833249999999,0.19839496101596976,0.1966917787974935
3,shallow,ancient,high,-0.00193463638998299,662.9225000000006,665.4924999999998,0.19738372506486349,0.19845954670080965
4,shallow,ancient,high,-0.01906324359869421,633.0493750000004,657.6543749999985,0.20145499060899769,0.20139891408442406
5,shallow,ancient,high,0.010350903502878836,705.7197499999999,691.2597499999999,0.2009426318307809,0.19950209699715438
6,shallow,ancient,high,-0.06172865031119969,623.9952499999986,706.1002499999987,0.1968472533352165,0.19414455313626655
7,shallow,ancient,high,0.03020819657955389,695.4576250000013,654.672624999999,0.20908722712112782,0.20141423245008816
8,shallow,ancient,high,0.012301320970870744,667.8002499999983,651.5702500000001,0.20094939924445235,0.1949979699689954
9,shallow,ancient,high,0.010423113595994906,720.9958749999976,706.1208750000005,0.20386155370821651,0.19392830217910625
0,shallow,ancient,very_high,0.007002340017611562,653.7934999999978,644.7009999999993,0.20100359325338102,0.20203860017571382
1,shallow,ancient,very_high,0.020248458330935706,693.443874999999,665.9188749999979,0.19368986207581848,0.19058054156143842
2,shallow,ancient,very_high,-0.011862308228710865,649.5366250000002,665.1316250000001,0.1978167440273454,0.2023031699957578
3,shallow,ancient,very_high,0.03442458618681481,693.1929999999994,647.0555000000002,0.19825285822640137,0.1962654178643793
4,shallow,ancient,very_high,0.025912622080086965,689.1348750000001,654.3223749999972,0.20335495432463171,0.1996515061836583
5,shallow,ancient,very_high,0.003609533590772143,680.8604999999977,675.9629999999987,0.20758342778399763,0.20217377570698927
6,shallow,ancient,very_high,0.019129990834699982,667.7222499999989,642.6547499999973,0.1969906429158781,0.19709393634810352
7,shallow,ancient,very_high,-0.018990614272522337,640.1021249999984,664.8846250000009,0.19725709502654182,0.19921646192877412
8,shallow,ancient,very_high,0.05600974619939927,692.0373750000003,618.6273750000012,0.1963916567174408,0.20015197284466218
9,shallow,ancient,very_high,-0.02429971559747359,617.0974999999983,647.8349999999995,0.19663628304326541,0.2004300538503625
0,shallow,ancient,super_high,0.03305792504588092,607.3033750000008,568.4358750000005,0.1905196731215356,0.19677137946709317
1,shallow,ancient,super_high,0.06851269011367594,746.2997499999985,650.5947500000003,0.20263255318905002,0.19903440589516597
2,shallow,ancient,super_high,0.013872473191329632,677.1343749999992,658.604375000004,0.20293686727659654,0.19785696895591903
3,shallow,ancient,super_high,-0.044060172721711886,655.3618749999989,715.7743749999992,0.2060795192692243,0.20227492997000548
4,shallow,ancient,super_high,-0.05261344305233801,663.6313749999982,737.3413750000005,0.20725770436204854,0.20690976543258366
5,shallow,ancient,super_high,-0.009757629807063866,673.8531249999975,687.1331250000015,0.2033726394258888,0.20326135751095514
6,shallow,ancient,super_high,0.037089471057478327,715.6131249999988,664.4281249999977,0.19921764844539894,0.19424989316870528
7,shallow,ancient,super_high,-0.04740454782632588,666.1248749999987,732.4223750000002,0.19700134904325944,0.2009061735979652
8,shallow,ancient,super_high,0.03650628686329186,718.57975,667.9622499999977,0.19662086766452805,0.19778645405854633
9,shallow,ancient,super_high,0.007585836434735595,719.5773750000003,708.7423749999979,0.20021249374276623,0.19140170459442074
0,intermediate,recent,none,0.058162707524079364,893.3745000000004,795.164499999999,0.43703433913388495,0.43867290644331963
1,intermediate,recent,none,-0.06873276692304649,705.8912499999999,810.0887499999999,0.44945073391399437,0.4428139096004498
2,intermediate,recent,none,-0.04279040894483115,797.2010000000004,868.4759999999999,0.44580522305196185,0.4473761728756235
3,intermediate,recent,none,0.05979187074246429,826.3025000000002,733.0650000000005,0.4445864175786204,0.4476707329968065
4,intermediate,recent,none,-0.04287010238023252,830.8724999999998,905.3025,0.44714141968152954,0.4471497981062616
5,intermediate,recent,none,0.002619296605193781,760.7790000000002,756.8040000000004,0.4335663484311546,0.4363155924325685
6,intermediate,recent,none,0.026165454192013406,810.2997499999998,768.9772499999995,0.4441043602622624,0.4426720801945108
7,intermediate,recent,none,0.05370300824905155,915.3899999999992,822.0824999999991,0.443727471057407,0.44635926277673993
8,intermediate,recent,none,0.01642427775351523,813.4072500000004,787.11975,0.4529450834968324,0.4417753653221748
9,intermediate,recent,none,0.005878609019461905,794.1562500000009,784.87375,0.44347098250667905,0.44485454076006553
0,intermediate,recent,low,-0.018936579124124168,769.02275,798.7102500000005,0.4457424998463627,0.4422877078094117
1,intermediate,recent,low,0.025721333420074467,800.1567499999992,760.0267500000004,0.44534068606775,0.4433389512988069
2,intermediate,recent,low,0.013705108761190639,849.8635000000004,826.8835000000003,0.44064710276867064,0.4397506267221471
3,intermediate,recent,low,0.053651599594649824,846.8729999999988,760.6279999999997,0.44701524468385817,0.4444460604334123
4,intermediate,recent,low,-0.008214647958752576,844.8344999999988,858.829499999999,0.44109136471202554,0.441595566245533
5,intermediate,recent,low,0.01655378176440164,793.0225000000005,767.1950000000002,0.44680422114542045,0.4551964954692541
6,intermediate,recent,low,-0.01851437071459821,803.000749999999,833.2957499999985,0.4490953505306769,0.4467738248756128
