rep,Ne,divergence,mig_time,mig_rate,mig_model,mig_direction,D,ABBA,BABA,FST_AB,FST_BC
3,100000,shallow,recent,high,continuous,symmetric,0.7897227307803579,2210.2592500001106,259.68675000000064,0.19595004024777984,0.025963383713394024
4,100000,shallow,recent,high,continuous,symmetric,0.8007172841032583,2170.1722500000737,240.16974999999942,0.1928081268212496,0.027216729419014936
5,100000,shallow,recent,high,continuous,symmetric,0.8030944537033528,2180.7018750000993,238.14187500000034,0.20149749689184485,0.026271747060869623
6,100000,shallow,recent,high,continuous,symmetric,0.7738627674297432,2182.642125000107,278.2496250000002,0.19379881308155697,0.026210466687145387
7,100000,shallow,recent,high,continuous,symmetric,0.7985404243538101,2207.1180000000822,247.2255000000006,0.20097767060537158,0.02603039254554058
8,100000,shallow,recent,high,continuous,symmetric,0.8209898084791583,2228.7938750001185,219.09887500000053,0.20616241478505093,0.02705089546344186
9,100000,shallow,recent,high,continuous,symmetric,0.8088053217416977,2228.82687500012,235.5918750000003,0.20229545719435332,0.02579171192924806
0,100000,shallow,recent,very_high,episodic,C_to_B,0.1844240091674135,567.0558749999961,390.4658749999992,0.12034174142266592,0.17668965895195632
1,100000,shallow,recent,very_high,episodic,C_to_B,0.2447231616581322,603.826874999997,366.3918749999974,0.11757559542793916,0.16561357720666392
2,100000,shallow,recent,very_high,episodic,C_to_B,0.24409462652509414,593.0603749999943,360.34037500000085,0.11438286753817299,0.17026584485121296
3,100000,shallow,recent,very_high,episodic,C_to_B,0.2967307977644754,655.464999999994,355.4849999999995,0.12030404528772491,0.16359881883599622
4,100000,shallow,recent,very_high,episodic,C_to_B,0.260012450274026,665.6666249999963,390.93662499999846,0.12074289104569222,0.1616268775476154
5,100000,shallow,recent,very_high,episodic,C_to_B,0.15427550880609536,585.5529999999942,429.0279999999983,0.11857538390119242,0.16889493621316443
6,100000,shallow,recent,very_high,episodic,C_to_B,0.21318800900812734,559.3811249999989,362.78612499999923,0.12561763712006416,0.18369785283162807
7,100000,shallow,recent,very_high,episodic,C_to_B,0.2658400513022406,621.2954999999967,360.3379999999997,0.1208725528738179,0.1705816679148762
8,100000,shallow,recent,very_high,episodic,C_to_B,0.19110722636622374,603.002499999998,409.50499999999926,0.11403936226602464,0.16825086187273025
9,100000,shallow,recent,very_high,episodic,C_to_B,0.15944756019263534,554.1818749999953,401.7593749999983,0.12294523344627552,0.1738321135416877
0,100000,shallow,recent,very_high,episodic,symmetric,0.09303108656231004,442.27999999999525,366.99249999999876,0.1251426387482379,0.1711543732285748
1,100000,shallow,recent,very_high,episodic,symmetric,0.020306697413934288,423.31274999999545,406.4627499999995,0.1316079159328097,0.16919146741733454
2,100000,shallow,recent,very_high,episodic,symmetric,0.07679392084776049,501.9126249999916,430.322625,0.1396720330327571,0.1771204462702053
3,100000,shallow,recent,very_high,episodic,symmetric,0.09627955607026464,462.65874999999556,381.39374999999905,0.13352868531714923,0.1704306350667457
4,100000,shallow,recent,very_high,episodic,symmetric,0.10455289676467897,509.59362499999406,413.1211249999983,0.1342725210259392,0.17255876639692652
5,100000,shallow,recent,very_high,episodic,symmetric,0.09026965401681047,503.8606249999934,420.4256249999989,0.14151016575390432,0.1686866408970977
6,100000,shallow,recent,very_high,episodic,symmetric,0.06692448527900077,474.28087499999566,414.7808749999984,0.13377981379323783,0.17848325036635737
7,100000,shallow,recent,very_high,episodic,symmetric,0.1090460676048051,502.52124999999376,403.70124999999905,0.1313490294672928,0.1703986053890047
8,100000,shallow,recent,very_high,episodic,symmetric,0.07993501925933873,440.24549999999306,375.07299999999856,0.12312742656759397,0.16830472448212574
9,100000,shallow,recent,very_high,episodic,symmetric,0.14486854399193286,543.8911249999976,406.246124999999,0.14231709069477338,0.17058266075924575
0,100000,shallow,recent,very_high,continuous,C_to_B,0.5608242056062942,1344.7577500000357,378.3802499999981,0.13143189313517928,0.02518432943465513
1,100000,shallow,recent,very_high,continuous,C_to_B,0.5229424231818331,1372.8267500000488,430.03425000000027,0.13058323195142052,0.027312398457967887
2,100000,shallow,recent,very_high,continuous,C_to_B,0.5401615499442591,1370.177000000047,409.0869999999996,0.12937653842767557,0.025854722443530063
3,100000,shallow,recent,very_high,continuous,C_to_B,0.5568219801296569,1409.517625000051,401.24512499999986,0.13256499306752278,0.024298870961099887
4,100000,shallow,recent,very_high,continuous,C_to_B,0.5170166373173587,1319.0211250000361,419.94612500000187,0.12538901965303717,0.02794636219671444
5,100000,shallow,recent,very_high,continuous,C_to_B,0.5765446778282162,1420.3662500000567,381.50625000000093,0.13636602228617378,0.02403667547258366
6,100000,shallow,recent,very_high,continuous,C_to_B,0.5660301295216419,1393.6096250000512,386.1896250000006,0.1336091017324477,0.025632382003929012
7,100000,shallow,recent,very_high,continuous,C_to_B,0.5708396386050535,1378.7852500000592,376.69024999999993,0.1345541337737561,0.025141834365658332
8,100000,shallow,recent,very_high,continuous,C_to_B,0.5635369143848962,1406.2933750000343,392.56837500000034,0.13182989873871684,0.025063129724922556
9,100000,shallow,recent,very_high,continuous,C_to_B,0.5749936436380784,1378.2887500000454,371.92625000000004,0.13278050760993662,0.02484654909260498
0,100000,shallow,recent,very_high,continuous,symmetric,0.8024112977237732,2296.351750000116,251.73675000000017,0.20169413085569848,0.0245799669560933
1,100000,shallow,recent,very_high,continuous,symmetric,0.8113767816566895,2279.9075000000903,237.41249999999974,0.20244468066206125,0.026589276814355352
2,100000,shallow,recent,very_high,continuous,symmetric,0.8119218131871621,2301.7026250001113,238.91762500000004,0.20127109525395856,0.026980037378481994
3,100000,shallow,recent,very_high,continuous,symmetric,0.8182370582083001,2293.217625000101,229.24512499999986,0.2035545922528116,0.02536115555372125
4,100000,shallow,recent,very_high,continuous,symmetric,0.8083307305045885,2280.391625000096,241.7041250000002,0.1988720742253317,0.0259209038420392
5,100000,shallow,recent,very_high,continuous,symmetric,0.818531138911179,2277.2292500001086,227.24175,0.20161955827150688,0.02360884804572829
6,100000,shallow,recent,very_high,continuous,symmetric,0.8159722401132999,2202.7257500001106,223.2207500000003,0.1983167612614778,0.02334384639033167
7,100000,shallow,recent,very_high,continuous,symmetric,0.8153915066253425,2129.261125000106,216.52612500000035,0.18969511728464306,0.02709246635353006
8,100000,shallow,recent,very_high,continuous,symmetric,0.7974693658454591,2224.2903750001224,250.6228750000003,0.20365278455899924,0.027167596930385538
9,100000,shallow,recent,very_high,continuous,symmetric,0.8336093520677914,2237.881250000098,203.07625000000021,0.20640351930424616,0.027880377032384628
0,100000,shallow,intermediate,none,episodic,C_to_B,0.030806306456904645,377.68974999999966,355.11475000000087,0.13355125794415273,0.19735987702489188
1,100000,shallow,intermediate,none,episodic,C_to_B,-0.006122790459418795,398.7088749999981,403.6213750000012,0.13438705863107447,0.19846688061806597
2,100000,shallow,intermediate,none,episodic,C_to_B,0.029385047510904518,430.6174999999983,406.0325000000001,0.1346940567804774,0.1955657126978475
